"filename", "language", "Markdown", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Computec\Desktop\projects\e-commerce\src\cloudianry\cloudinary.service.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\Computec\Desktop\projects\e-commerce\src\config\redis.config.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Computec\Desktop\projects\e-commerce\src\decorators\current-user.decorator.ts", "TypeScript", 0, 0, 0, 0, 7, 5, 3, 15
"c:\Users\Computec\Desktop\projects\e-commerce\src\decorators\permissions.decorator.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\guards\authentication.guard.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 7, 38
"c:\Users\Computec\Desktop\projects\e-commerce\src\guards\authorization.guard.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 9, 58
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\email.worker.processor.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\mail.module.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 3, 36
"c:\Users\Computec\Desktop\projects\e-commerce\src\mail\mail.service.ts", "TypeScript", 0, 0, 0, 0, 95, 1, 8, 104
"c:\Users\Computec\Desktop\projects\e-commerce\src\main.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 10, 34
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\dto\create-order.dto.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\dto\update-order.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\entities\order-item.entity.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 9, 43
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\entities\order.entity.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 11, 51
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\enums\order-status.enum.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\orders.controller.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 6, 36
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\orders.module.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\Computec\Desktop\projects\e-commerce\src\orders\orders.service.ts", "TypeScript", 0, 0, 0, 0, 216, 0, 47, 263
"c:\Users\Computec\Desktop\projects\e-commerce\src\otp\entities\otp.entity.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 7, 32
"c:\Users\Computec\Desktop\projects\e-commerce\src\otp\otp.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 2, 12
"c:\Users\Computec\Desktop\projects\e-commerce\src\otp\otp.service.ts", "TypeScript", 0, 0, 0, 0, 58, 4, 11, 73
"c:\Users\Computec\Desktop\projects\e-commerce\src\otp\type\OTPType.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\payment\payment.controller.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\Computec\Desktop\projects\e-commerce\src\payment\payment.module.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 3, 29
"c:\Users\Computec\Desktop\projects\e-commerce\src\payment\payment.service.ts", "TypeScript", 0, 0, 0, 0, 204, 4, 35, 243
"c:\Users\Computec\Desktop\projects\e-commerce\src\payment\webhook.controller.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\dto\create-product.dto.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\dto\update-product.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 2, 5
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\entities\product-image.entity.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 5, 20
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\entities\product.entity.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 12, 60
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\products.controller.ts", "TypeScript", 0, 0, 0, 0, 70, 4, 8, 82
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\products.module.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\Computec\Desktop\projects\e-commerce\src\products\products.service.ts", "TypeScript", 0, 0, 0, 0, 122, 0, 31, 153
"c:\Users\Computec\Desktop\projects\e-commerce\src\response\response.interceptor.spec.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\response\response.interceptor.ts", "TypeScript", 0, 0, 0, 0, 23, 1, 4, 28
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\dtos\role.dto.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 5, 23
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\entities\role.entity.ts", "TypeScript", 0, 0, 0, 0, 25, 1, 7, 33
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\enums\action.enum.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\enums\resource.enum.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\roles.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\roles.controller.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 3, 14
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\roles.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\roles.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\roles.service.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\Computec\Desktop\projects\e-commerce\src\roles\types\permission.type.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\entities\user.entity.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 11, 48
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\user.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\user.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\Computec\Desktop\projects\e-commerce\src\user\user.service.ts", "TypeScript", 0, 0, 0, 0, 50, 1, 15, 66
"c:\Users\Computec\Desktop\projects\e-commerce\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\Computec\Desktop\projects\e-commerce\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Computec\Desktop\projects\e-commerce\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Computec\Desktop\projects\e-commerce\tsconfig.json", "JSON with Comments", 0, 0, 24, 0, 0, 0, 2, 26
"Total", "-", 2, 16027, 24, 0, 2773, 65, 592, 19483
